,SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
0,20MICRONS,20 Microns Limited,EQ,06-OCT-2008,5,1,INE144J01027,5,EQ,96.8,98.5,95.1,95.9,96.0,96.8,179661,17307832.5,15-DEC-2022,3277,INE144J01027
1,21STCENMGM,21st Century Management Services Limited,EQ,03-MAY-1995,10,1,INE253B01015,10,EQ,22.5,22.8,22.3,22.5,22.5,22.5,3979,89602.05,15-DEC-2022,70,INE253B01015
2,3IINFOLTD,3i Infotech Limited,EQ,22-OCT-2021,10,1,INE748C01038,10,EQ,40.9,45.45,40.9,43.15,43.2,41.0,3589395,158231363.05,15-DEC-2022,12716,INE748C01038
3,3MINDIA,3M India Limited,EQ,13-AUG-2004,10,1,INE470A01017,10,EQ,23200.0,23399.95,23200.0,23331.1,23350.0,23268.7,1020,23777414.4,15-DEC-2022,587,INE470A01017
4,3PLAND,3P Land Holdings Limited,EQ,19-JUL-1995,2,1,INE105C01023,2,EQ,17.55,17.75,16.95,17.0,17.0,17.2,12254,210268.45,15-DEC-2022,174,INE105C01023
5,4THDIM,Fourth Dimension Solutions Limited,BE,06-SEP-2022,10,1,INE382T01022,10,BE,106.0,106.05,105.0,106.05,106.05,104.0,124219,13171744.3,15-DEC-2022,251,INE382T01022
6,5PAISA,5Paisa Capital Limited,EQ,16-NOV-2017,10,1,INE618L01018,10,EQ,330.3,330.3,321.15,323.65,322.5,327.5,18310,5972896.1,15-DEC-2022,1473,INE618L01018
7,63MOONS,63 moons technologies limited,EQ,20-JUN-2005,2,1,INE111B01023,2,EQ,154.7,159.95,153.85,156.65,157.0,157.05,142649,22256947.7,15-DEC-2022,4859,INE111B01023
8,A2ZINFRA,A2Z Infra Engineering Limited,EQ,23-DEC-2010,10,1,INE619I01012,10,EQ,11.8,11.8,11.25,11.3,11.25,11.6,291125,3347516.0,15-DEC-2022,534,INE619I01012
9,AAATECH,AAA Technologies Limited,EQ,28-NOV-2022,10,1,INE0D0U01013,10,EQ,58.5,60.0,57.35,58.3,58.0,59.8,12104,716842.9,15-DEC-2022,248,INE0D0U01013
10,AAKASH,Aakash Exploration Services Limited,EQ,29-SEP-2020,1,1,INE087Z01024,1,EQ,6.85,6.95,6.75,6.9,6.9,6.8,418183,2870371.2,15-DEC-2022,958,INE087Z01024
11,AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,EQ,06-AUG-2021,10,1,INE198H01019,10,EQ,37.85,38.9,37.6,38.35,38.65,37.85,26792,1022645.6,15-DEC-2022,276,INE198H01019
12,AARON,Aaron Industries Limited,EQ,06-NOV-2020,10,1,INE721Z01010,10,EQ,169.0,169.0,163.95,166.5,165.5,169.0,8475,1410426.95,15-DEC-2022,355,INE721Z01010
13,AARTIDRUGS,Aarti Drugs Limited,EQ,19-SEP-2003,10,1,INE767A01016,10,EQ,464.4,467.0,456.0,458.35,462.0,461.95,60555,27950047.55,15-DEC-2022,4189,INE767A01016
14,AARTIIND,Aarti Industries Limited,EQ,08-FEB-1995,5,1,INE769A01020,5,EQ,658.75,661.95,635.7,640.0,641.8,658.75,950942,615476420.65,15-DEC-2022,39857,INE769A01020
15,AARTISURF,Aarti Surfactants Limited,EQ,14-JUL-2020,10,1,INE09EO01013,10,EQ,679.0,680.0,673.05,675.35,680.0,676.8,4212,2845933.4,15-DEC-2022,568,INE09EO01013
16,AARVEEDEN,Aarvee Denims & Exports Limited,EQ,21-NOV-2006,10,1,INE273D01019,10,EQ,25.9,25.9,24.25,24.7,24.5,25.1,17874,450254.3,15-DEC-2022,340,INE273D01019
17,AARVI,Aarvi Encon Limited,EQ,24-JUN-2020,10,1,INE754X01016,10,EQ,188.9,189.0,182.0,183.45,183.75,186.5,39116,7269233.8,15-DEC-2022,850,INE754X01016
18,AAVAS,Aavas Financiers Limited,EQ,08-OCT-2018,10,1,INE216P01012,10,EQ,1988.05,2013.95,1965.0,1971.2,1979.05,1988.05,139287,275894495.2,15-DEC-2022,11564,INE216P01012
19,ABAN,Aban Offshore Limited,EQ,29-MAR-1995,2,1,INE421A01028,2,EQ,52.55,54.5,52.55,53.0,53.0,52.7,332863,17788414.95,15-DEC-2022,4352,INE421A01028
20,ABB,ABB India Limited,EQ,08-FEB-1995,2,1,INE117A01022,2,EQ,3004.95,3013.95,2916.0,2930.2,2921.55,3006.7,258936,765439576.15,15-DEC-2022,28298,INE117A01022
21,ABBOTINDIA,Abbott India Limited,EQ,08-JAN-2010,10,1,INE358A01014,10,EQ,20600.0,20749.95,20400.05,20571.7,20574.4,20563.35,7862,161678543.55,15-DEC-2022,3025,INE358A01014
22,ABCAPITAL,Aditya Birla Capital Limited,EQ,01-SEP-2017,10,1,INE674K01013,10,EQ,155.1,158.2,152.5,153.65,153.0,155.75,2872366,446625571.45,15-DEC-2022,20597,INE674K01013
23,ABFRL,Aditya Birla Fashion and Retail Limited,EQ,17-JUL-2013,10,1,INE647O01011,10,EQ,316.5,317.8,307.15,308.55,307.6,316.5,1460923,455256823.95,15-DEC-2022,15216,INE647O01011
24,ABMINTLLTD,ABM International Limited,BE,09-SEP-2021,10,1,INE251C01025,10,BE,68.0,68.0,66.0,68.0,68.0,68.0,134,9092.0,15-DEC-2022,9,INE251C01025
25,ABSLAMC,Aditya Birla Sun Life AMC Limited,EQ,11-OCT-2021,5,1,INE404A01024,5,EQ,471.0,471.9,450.0,451.05,450.95,460.2,160571,73894522.2,15-DEC-2022,5129,INE404A01024
26,ACC,ACC Limited,EQ,20-NOV-1996,10,1,INE012A01025,10,EQ,2661.75,2672.0,2611.0,2635.5,2624.95,2668.6,439279,1166815666.2,15-DEC-2022,19121,INE012A01025
27,ACCELYA,Accelya Solutions India Limited,EQ,01-DEC-1999,10,1,INE793A01012,10,EQ,1609.25,1617.95,1583.0,1594.25,1595.1,1605.55,25181,40135671.0,15-DEC-2022,3601,INE793A01012
28,ACCURACY,Accuracy Shipping Limited,EQ,11-DEC-2020,10,1,INE648Z01015,10,EQ,184.0,184.0,174.95,176.95,176.25,178.45,22955,4066555.85,15-DEC-2022,548,INE648Z01015
29,ACE,Action Construction Equipment Limited,EQ,26-SEP-2006,2,1,INE731H01025,2,EQ,324.9,331.35,324.0,326.5,325.5,323.25,325511,106570282.35,15-DEC-2022,9426,INE731H01025
30,ACEINTEG,Ace Integrated Solutions Limited,EQ,04-NOV-2022,10,1,INE543V01017,10,EQ,55.9,58.1,53.6,54.1,53.9,55.2,7070,390065.65,15-DEC-2022,152,INE543V01017
31,ACI,Archean Chemical Industries Limited,EQ,21-NOV-2022,2,1,INE128X01021,2,EQ,519.9,523.65,508.1,513.15,510.85,517.3,367466,189426384.55,15-DEC-2022,15743,INE128X01021
32,ADANIENT,Adani Enterprises Limited,EQ,04-JUN-1997,1,1,INE423A01024,1,EQ,4055.8,4073.05,4025.0,4043.75,4025.25,4055.8,866138,3509530717.8,15-DEC-2022,37452,INE423A01024
33,ADANIGREEN,Adani Green Energy Limited,EQ,18-JUN-2018,10,1,INE364U01010,10,EQ,2017.0,2034.85,2010.0,2024.9,2020.0,2018.15,351166,710201710.75,15-DEC-2022,18095,INE364U01010
34,ADANIPORTS,Adani Ports and Special Economic Zone Limited,EQ,27-NOV-2007,2,1,INE742F01042,2,EQ,900.25,906.95,880.35,883.95,883.05,900.55,3679459,3291887091.9,15-DEC-2022,72821,INE742F01042
35,ADANIPOWER,Adani Power Limited,EQ,20-AUG-2009,10,1,INE814H01011,10,EQ,320.65,322.55,314.5,315.45,315.9,319.35,1720989,547967818.2,15-DEC-2022,31151,INE814H01011
36,ADANITRANS,Adani Transmission Limited,EQ,31-JUL-2015,10,1,INE931S01010,10,EQ,2666.0,2674.0,2632.0,2657.0,2658.0,2672.45,227563,604262321.05,15-DEC-2022,17538,INE931S01010
