,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,Unnamed: 13
0,182D050123,TB,97.02,97.02,97.02,97.02,97.02,98.25,100,9702.0,14-DEC-2022,1,IN002022Y146,
1,182D120123,TB,97.02,97.02,97.02,97.02,97.02,98.1,100,9702.0,14-DEC-2022,1,IN002022Y153,
2,182D291222,TB,99.25,99.25,99.25,99.25,99.25,99.35,100,9925.0,14-DEC-2022,1,IN002022Y138,
3,182D300323,TB,97.8,97.8,97.75,97.77,97.75,96.7,1800,176005.0,14-DEC-2022,7,IN002022Y278,
4,20MICRONS,EQ,98.8,100.0,96.25,96.8,97.15,98.25,126169,12394182.2,14-DEC-2022,3031,INE144J01027,
5,21STCENMGM,EQ,22.45,22.8,22.2,22.5,22.5,22.45,5431,121780.25,14-DEC-2022,55,INE253B01015,
6,364D060723,TB,92.02,92.02,92.02,92.02,92.02,92.0,100,9202.0,14-DEC-2022,1,IN002022Z143,
7,364D130723,TB,91.17,91.17,91.17,91.17,91.17,95.85,100,9117.0,14-DEC-2022,1,IN002022Z150,
8,364D240823,TB,95.0,95.0,95.0,95.0,95.0,94.35,100,9500.0,14-DEC-2022,1,IN002022Z218,
9,364D290623,TB,95.3,95.3,95.3,95.3,95.3,95.31,300,28590.0,14-DEC-2022,2,IN002022Z135,
10,364D301123,TB,93.5,93.5,93.5,93.5,93.5,93.5,100,9350.0,14-DEC-2022,1,IN002022Z358,
11,3IINFOLTD,EQ,41.2,41.6,40.9,41.0,40.9,41.0,459220,18934392.75,14-DEC-2022,2598,INE748C01038,
12,3MINDIA,EQ,23348.0,23350.0,23161.0,23268.7,23245.0,23279.75,899,20932149.15,14-DEC-2022,606,INE470A01017,
13,3PLAND,EQ,17.3,18.0,17.0,17.2,17.2,17.3,8350,145280.0,14-DEC-2022,210,INE105C01023,
14,426GS2023,GS,98.9,98.9,98.9,98.9,98.9,98.9,31,3065.9,14-DEC-2022,2,IN0020210046,
15,4THDIM,BE,103.7,104.0,103.5,104.0,104.0,102.0,141240,14687365.7,14-DEC-2022,245,INE382T01022,
16,5PAISA,EQ,327.5,334.0,324.0,327.5,324.55,325.5,31174,10262875.25,14-DEC-2022,1802,INE618L01018,
17,601GS2028,GS,92.48,92.48,92.48,92.48,92.48,88.08,1,92.48,14-DEC-2022,1,IN0020020247,
18,63MOONS,EQ,154.7,158.5,152.6,157.05,157.85,155.5,115749,17870644.6,14-DEC-2022,2922,INE111B01023,
19,667GS2035,GS,95.5,95.5,95.5,95.5,95.5,96.0,12,1146.0,14-DEC-2022,1,IN0020210152,
20,667GS2050,GS,96.49,96.5,96.49,96.5,96.5,95.01,2,192.99,14-DEC-2022,2,IN0020200252,
21,669GS2024,GS,103.1,103.5,103.1,103.5,103.5,103.05,260,26870.0,14-DEC-2022,3,IN0020220052,
22,68GS2060,GS,88.0,88.0,88.0,88.0,88.0,90.57,100,8800.0,14-DEC-2022,1,IN0020200187,
23,695GS2061,GS,96.5,96.5,96.5,96.5,96.5,96.5,11,1061.5,14-DEC-2022,2,IN0020210202,
24,699GS2051,GS,96.0,96.59,95.09,96.49,96.49,96.5,5456,523077.33,14-DEC-2022,13,IN0020210194,
25,710GS2029,GS,101.0,101.99,100.05,100.11,100.11,102.0,33101,3316688.71,14-DEC-2022,9,IN0020220011,
26,716GS2050,GS,101.0,101.0,101.0,101.0,101.0,98.51,1,101.0,14-DEC-2022,1,IN0020200054,
27,726GS2032,GS,102.0,102.0,102.0,102.0,102.0,102.0,45000,4590000.0,14-DEC-2022,1,IN0020220060,
28,727GS2026,GS,102.62,102.62,102.62,102.62,102.62,102.5,29,2975.98,14-DEC-2022,1,IN0020190016,
29,736GS2052,GS,102.0,102.7,102.0,102.0,102.0,102.0,610,62477.0,14-DEC-2022,4,IN0020220086,
30,737GS2023,GS,97.81,97.81,97.81,97.81,97.81,93.16,200,19562.0,14-DEC-2022,1,IN0020180025,
31,738GS2027,GS,104.6,104.6,104.55,104.55,104.55,105.37,1200,125470.0,14-DEC-2022,5,IN0020220037,
32,74GS2035,GS,100.01,100.01,100.0,100.0,100.0,100.0,200,20001.0,14-DEC-2022,2,IN0020050012,
33,74GS2062,GS,103.0,106.0,102.6,102.6,102.6,102.0,1101,113366.0,14-DEC-2022,3,IN0020220094,
34,754GS2036,GS,104.0,104.0,102.79,102.8,102.8,102.8,74138,7643303.4,14-DEC-2022,31,IN0020220029,
35,759GS2026,GS,105.35,105.35,104.1,104.1,104.1,104.0,600,63085.0,14-DEC-2022,2,IN0020150093,
36,75GS2034,GS,101.8,101.8,101.8,101.8,101.8,101.8,50,5090.0,14-DEC-2022,1,IN0020040039,
37,813GS2045,GS,110.5,110.5,110.5,110.5,110.5,105.5,50,5525.0,14-DEC-2022,1,IN0020150044,
38,824GS2027,GS,104.51,104.51,104.51,104.51,104.51,108.0,10,1045.1,14-DEC-2022,1,IN0020060078,
39,915GS2024,GS,106.0,106.75,106.0,106.75,106.75,106.75,1010,107067.5,14-DEC-2022,2,IN0020110048,
40,91D020323,TB,98.35,98.35,98.32,98.32,98.32,98.3,1000,98344.0,14-DEC-2022,2,IN002022X353,
41,A2ZINFRA,EQ,10.9,11.75,10.85,11.6,11.5,10.95,1184373,13546270.75,14-DEC-2022,1451,INE619I01012,
42,AAATECH,EQ,61.35,61.5,58.0,59.8,59.3,59.35,11362,680541.6,14-DEC-2022,354,INE0D0U01013,
43,AAKASH,EQ,7.0,7.0,6.65,6.8,6.85,7.0,865709,5875135.0,14-DEC-2022,1607,INE087Z01024,
44,AAREYDRUGS,EQ,37.7,38.25,37.25,37.85,37.5,37.55,20639,780342.95,14-DEC-2022,298,INE198H01019,
45,AARON,EQ,179.0,179.0,167.05,169.0,170.3,175.75,8124,1395534.85,14-DEC-2022,489,INE721Z01010,
46,AARTIDRUGS,EQ,462.0,466.95,460.2,461.95,461.1,462.9,41455,19211733.95,14-DEC-2022,4548,INE767A01016,
47,AARTIIND,EQ,655.45,665.95,655.45,658.75,659.4,654.0,622833,411643737.8,14-DEC-2022,25535,INE769A01020,
48,AARTISURF,EQ,686.55,686.55,674.0,676.8,676.0,679.85,9966,6757105.7,14-DEC-2022,1486,INE09EO01013,
49,AARVEEDEN,EQ,26.15,26.2,25.05,25.1,25.05,25.85,32515,820059.1,14-DEC-2022,268,INE273D01019,
50,AARVI,EQ,189.3,189.45,185.2,186.5,185.6,186.75,17289,3239994.05,14-DEC-2022,487,INE754X01016,
51,AAVAS,EQ,1919.0,1996.95,1918.95,1988.05,1990.0,1919.0,82812,163307222.35,14-DEC-2022,11020,INE216P01012,
52,ABAN,EQ,54.4,54.8,52.35,52.7,52.7,53.7,322690,17239641.9,14-DEC-2022,4918,INE421A01028,
53,ABB,EQ,3005.0,3029.0,2998.4,3006.7,3003.1,2993.15,307596,926615682.8,14-DEC-2022,21211,INE117A01022,
54,ABBOTINDIA,EQ,20989.95,20993.95,20444.05,20563.35,20503.7,20838.0,14099,291751696.65,14-DEC-2022,5881,INE358A01014,
55,ABCAPITAL,EQ,157.1,157.55,155.3,155.75,155.5,156.4,2432733,380354991.15,14-DEC-2022,14498,INE674K01013,
56,ABCOTS,SM,51.5,51.5,51.0,51.0,51.0,52.0,16000,818200.0,14-DEC-2022,4,INE08PH01015,
57,ABFRL,EQ,315.3,320.0,315.3,316.5,316.25,315.45,2530483,804358295.95,14-DEC-2022,26432,INE647O01011,
